_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
42.33640580275459,2734,0.2379063261989162,-1.0212216255098168,2.523637342562682,0.22150492861982318,-0.36204568,-95.36846,114.93032,1642.6221,5.717607968808414e-17,-1.6756819594778247,2.2529877446915636,0.9999917141638419,0.08027546526585097,0.0012486113812902196,0.1868999250301995,0.0021918962826356176,20,1518571.2,2.7565277,174.26999,1.5,1.0,0.0006736799218774116,0.6929089035144566,-39.51410686525767
125.54262702000702,7592,0.008659681809265962,-3.64823416987345,1.0810714632431218,0.11948280505755625,-6.681623,-150.8116,126.768135,1631.5532,-8.984734277261541e-17,-2.7979961195558487,5.016110204651575,0.9999722048423063,0.19961328631138708,0.001245886334579084,0.47261459590561533,0.011525999475199417,40,26084.0,2.756633,22.831274,2.25,1.0,0.0026902061288221943,0.7673684544887118,-1.1457890198347105
29.929109659545276,1778,0.08894008050472188,-0.44661675645080173,0.9740132833213156,0.04179208574186621,10.178234,-65.51835,110.60148,1298.194,1.3587431392487855e-16,-2.5157189239012436,2.0532956244718217,0.9999139531270498,0.05996550690339229,0.0012472867211461033,0.126530110551284,0.0012805197337637819,60,2100.3545,2.7570777,6.4647455,3.375,1.0,0.002783304561728688,-0.310101016291485,-0.24759588775994623
52.74078799621166,3360,0.04060908607723681,-1.211372237316943,0.6941362615132176,0.06516299906042486,-2.1319985,-130.18745,104.647675,1816.8301,-2.114710523095536e-17,-5.3092656169779815,2.370553882410472,0.9999635612557853,0.11398252765313495,0.0012463209205484617,0.2894161881457775,0.005181212968302285,80,7105.7373,2.7575827,11.893539,5.0625,1.0,0.0018637351139931774,0.6429535965991413,-0.19987645243658436
48.96510369126263,3106,0.03637585062002415,-0.9726274364657086,0.6685488814516154,0.06018732708344473,-1.3458273,-126.35956,101.533485,1749.5977,0.0,-4.97630914809588,3.34572453519134,0.9999480962984596,0.10554278784265789,0.0012469320899065434,0.25417137080759106,0.004536416093029142,100,7704.827,2.758072,12.369011,7.59375,1.0,0.002276308931274242,0.5008622140542058,0.19485122780796438
55.26074035349416,3608,0.04454773646086789,-0.8952062364592924,0.5885218402087667,0.054807088186415234,-3.0282817,-112.90959,99.73831,1651.2012,0.0,-2.6493344014211115,2.1215749888616777,0.9999576986238732,0.10419963714081498,0.0012481409270561597,0.29475328526175243,0.004220347920544497,120,7321.145,2.7584293,12.030752,11.390625,1.0,0.0011020712094576442,0.7397470146981817,0.08111249148795607
91.4303277469658,6133,0.02697932894443286,-1.079311762338666,0.7544321195506845,0.06422603025358985,-7.900667,-120.69588,99.52872,1714.8217,9.26845244754737e-17,-6.383101447541937,2.7225679556172393,0.9999187330386752,0.15826163435560292,0.0012482967130897065,0.30618001532404715,0.0073039721952579476,140,3813.543,2.758719,8.626218,17.0859375,1.0,0.002198138898847483,0.6999777214095639,0.4610182153760911
34.135286226452656,2084,0.03861859456877536,-0.5165051881493039,0.6167758789913327,0.039115180248506465,3.521576,-77.56463,102.74781,1594.0142,4.091416904568715e-17,-2.4885461615287627,1.7518572121833293,0.9999581736016311,0.06655942592056704,0.0012471937588189848,0.14353927059324265,0.0015580886643294435,160,6823.501,2.7589035,11.518362,25.62890625,1.0,0.0018179742853871648,0.7771537873562959,0.3170675886400287
170.2916238106675,11675,0.02147817529818277,-0.9156506778743817,1.1891341954327312,0.07274806969719867,-1.4875425,-109.463936,114.74881,1708.3668,-9.737630639967112e-18,-4.775853102157034,3.466580001735363,0.9999512644857333,0.20467153688912634,0.0012472371346540772,0.30465537479278143,0.006708034944434842,180,5744.565,2.7591374,10.472217,35.0,0.6666666666666666,0.002357939857598638,0.6551511393288774,-0.2515852882842673
55.016709314877836,3518,0.035938246833445,-0.8329048738135454,0.7509081613116044,0.059808284793319025,-0.55186784,-104.94264,98.06405,1795.4648,0.0,-3.6647558129877105,3.4081542288503006,0.9999522086304496,0.12714229174724442,0.0012478239677876349,0.301159722754946,0.007781362574469098,200,710.4664,2.7591887,3.439733,35.0,0.4444444444444444,0.0020930400459950654,0.7665405487772563,0.612543552744176
103.68585466937827,6929,0.022948077288721187,-0.845100099572679,0.7516225221243593,0.06147470633660121,-4.9432373,-105.70655,97.58311,1836.9484,-8.203697338837929e-18,-5.717060968616878,3.445870996461084,0.9999440058518686,0.17535943799959317,0.0012444645290338534,0.30066338095474343,0.007696820132914781,220,271.87112,2.7592459,2.0132291,35.0,0.2962962962962963,0.0014280173730010712,0.8164928395874367,0.517721118496397
55.63590603374155,3557,0.04585837851672279,-0.7552701047912754,0.941961498307141,0.06271468817351838,-0.08010759,-110.37409,97.954865,1820.1305,-7.990359693675571e-18,-1.9862148053496145,4.945190191347352,0.9999399274029243,0.13489420438581087,0.0012475696975556662,0.30269874186088097,0.009213358797668159,240,64.73704,2.7592628,0.8448537,35.0,0.19753086419753085,0.0022331206124486256,0.7587840109471625,0.7060131475639738
81.03696845956463,5422,0.044584936542394316,-0.9673882987691095,0.9496509337978307,0.06994003042892259,-0.91603136,-120.069374,97.49455,1810.8976,-2.6209617696794547e-17,-6.69374824646466,4.287303684323167,0.9999329709091385,0.1624195048843717,0.0012481375412263936,0.30226926413486804,0.008512002991931826,260,7.871996,2.7592657,0.1809498,35.0,0.1316872427983539,0.0017135689888465322,0.7993738388783672,0.5662237341138443
112.92575385156974,7622,0.027144065899252137,-0.7840222681965986,0.9120703675098246,0.06532495346071342,-2.9461927,-108.57239,96.77231,1851.2504,1.678006985526345e-17,-4.928228062990332,4.401565162739957,0.9999246819662339,0.18486077316399385,0.0012488530902284762,0.30224577871936925,0.00791183890024646,280,3.959168,2.7592707,0.100509465,35.0,0.0877914951989026,0.0012732097639229895,0.8416455646571875,0.7521853849234913
70.54862812965725,4605,0.038477123390960204,-0.7660782528969043,0.8250688549285432,0.06771622059416656,-0.82517034,-104.61284,97.04815,1904.1332,0.0,-4.922051641326025,3.477638211381625,0.9999415366962819,0.15416642343081122,0.0012476124573401063,0.30455634357081507,0.008996787535738557,300,1.1773064,2.7592645,0.032706074,35.0,0.0877914951989026,0.0021796529799558598,0.7643832642677155,0.6651789006238112
75.24261779304807,4921,0.03458893348480053,-0.759467653776885,0.8253094731651658,0.06626102522565112,-1.6326368,-105.14059,97.5043,1940.4108,2.3102385230972573e-17,-4.643492007625572,3.680579267055056,0.999924130989076,0.1605928596042172,0.0012480657339923845,0.30492665140158126,0.008935009909402523,320,1.2467817,2.7592642,0.03460431,35.0,0.0877914951989026,0.0012943946611878214,0.8693366136732007,0.7765474555008609
60.70421957261186,3890,0.03543851968265153,-0.6500734232781961,0.8560423679136062,0.06303927963243736,-1.3802648,-101.72532,97.25923,1972.1454,1.4612704077328537e-17,-2.85982749286825,4.066903624176806,0.999921721851762,0.14438103525099522,0.0012475527022613184,0.3035669577842255,0.009231798678209838,340,1.3538246,2.7592528,0.037537556,35.0,0.0877914951989026,0.0009920103401320575,0.892937091872432,0.8625758088654697
131.91414480870134,8828,0.02867953870822163,-0.8320454056433142,0.8814757837836892,0.06497710870858077,-5.03959,-108.73568,97.20694,1881.3492,2.4146218931584738e-17,-3.411398404451659,6.117233958828844,0.9999209197607084,0.19571464447350786,0.0012477435140898798,0.30534631380168065,0.007899008593450324,360,0.9685402,2.7592385,0.027020466,35.0,0.0877914951989026,0.0008941216613471654,0.8875541560962162,0.8090331781175759
51.257973887708054,3273,0.03135993270869891,-0.8580636401857458,0.8703418748052978,0.06349814811337681,1.5049971,-109.83296,97.592514,1974.7734,-1.3025531361321727e-17,-2.8976377280791503,3.716153977740614,0.9999378115234386,0.12396281522109681,0.0012488116300680002,0.3034674167865207,0.008011803355303286,380,0.9156615,2.7592213,0.025722787,35.0,0.0877914951989026,0.0008808585578139557,0.8920189371712262,0.7898653588816156
